Name;Station;Time(norwegian mean time);Wind direction;Mean wind speed
Hønefoss - Høyby;SN20301;01.01.2023 01:00;64;0.7
Hønefoss - Høyby;SN20301;01.01.2023 02:00;355;1.6
Hønefoss - Høyby;SN20301;01.01.2023 03:00;326;1.5
Hønefoss - Høyby;SN20301;01.01.2023 04:00;356;2.3
Hønefoss - Høyby;SN20301;01.01.2023 05:00;32;1.4
Hønefoss - Høyby;SN20301;01.01.2023 06:00;340;2.2
Hønefoss - Høyby;SN20301;01.01.2023 07:00;335;3
Hønefoss - Høyby;SN20301;01.01.2023 08:00;336;1.9
Hønefoss - Høyby;SN20301;01.01.2023 09:00;345;2.4
Hønefoss - Høyby;SN20301;01.01.2023 10:00;333;3.3
Hønefoss - Høyby;SN20301;01.01.2023 11:00;323;2.6
Hønefoss - Høyby;SN20301;01.01.2023 12:00;327;2.4
Hønefoss - Høyby;SN20301;01.01.2023 13:00;327;2
Hønefoss - Høyby;SN20301;01.01.2023 14:00;330;1.4
Hønefoss - Høyby;SN20301;01.01.2023 15:00;334;2.4
Hønefoss - Høyby;SN20301;01.01.2023 16:00;334;2.2
Hønefoss - Høyby;SN20301;01.01.2023 17:00;322;1.7
Hønefoss - Høyby;SN20301;01.01.2023 18:00;335;2.6
Hønefoss - Høyby;SN20301;01.01.2023 19:00;333;3.1
Hønefoss - Høyby;SN20301;01.01.2023 20:00;326;2.7
Hønefoss - Høyby;SN20301;01.01.2023 21:00;331;2.4
Hønefoss - Høyby;SN20301;01.01.2023 22:00;332;3.4
Hønefoss - Høyby;SN20301;01.01.2023 23:00;331;3.4
Hønefoss - Høyby;SN20301;02.01.2023 00:00;326;2.5
Hønefoss - Høyby;SN20301;02.01.2023 01:00;326;2.1
Hønefoss - Høyby;SN20301;02.01.2023 02:00;326;2.3
Hønefoss - Høyby;SN20301;02.01.2023 03:00;326;2.3
Hønefoss - Høyby;SN20301;02.01.2023 04:00;322;2.4
Hønefoss - Høyby;SN20301;02.01.2023 05:00;326;2.3
Hønefoss - Høyby;SN20301;02.01.2023 06:00;317;2.1
Hønefoss - Høyby;SN20301;02.01.2023 07:00;331;0.9
Hønefoss - Høyby;SN20301;02.01.2023 08:00;326;1.7
Hønefoss - Høyby;SN20301;02.01.2023 09:00;329;1.9
Hønefoss - Høyby;SN20301;02.01.2023 10:00;327;1.8
Hønefoss - Høyby;SN20301;02.01.2023 11:00;327;1.3
Hønefoss - Høyby;SN20301;02.01.2023 12:00;358;1.8
Hønefoss - Høyby;SN20301;02.01.2023 13:00;324;2.3
Hønefoss - Høyby;SN20301;02.01.2023 14:00;308;1.3
Hønefoss - Høyby;SN20301;02.01.2023 15:00;329;1.5
Hønefoss - Høyby;SN20301;02.01.2023 16:00;324;1.9
Hønefoss - Høyby;SN20301;02.01.2023 17:00;92;0.7
Hønefoss - Høyby;SN20301;02.01.2023 18:00;273;0.8
Hønefoss - Høyby;SN20301;02.01.2023 19:00;14;1.4
Hønefoss - Høyby;SN20301;02.01.2023 20:00;158;0.5
Hønefoss - Høyby;SN20301;02.01.2023 21:00;341;1.6
Hønefoss - Høyby;SN20301;02.01.2023 22:00;306;1
